time,temperature,humidity,precipitation,pressure
2022-01-31,19.1,92.0,0.1,908.7
2022-02-28,19.1,92.0,0.0,909.2
2022-03-31,19.8,84.0,0.0,910.1
2022-04-30,18.45,83.0,0.0,911.3
2022-05-31,14.8,79.0,0.0,912.4
2022-06-30,15.4,73.0,0.0,913.1
2022-07-31,15.850000000000001,59.0,0.0,914.4
2022-08-31,16.7,56.0,0.0,914.0
2022-09-30,18.6,61.0,0.0,912.3
2022-10-31,19.8,72.0,0.0,910.7
2022-11-30,18.8,78.0,0.0,910.8
2022-12-31,20.4,86.0,0.0,910.5
2023-01-31,20.5,88.0,0.1,911.8
2023-02-28,21.8,86.0,0.0,912.6
2023-03-31,21.65,82.0,0.0,913.4
2023-04-30,19.7,81.0,0.0,912.8
2023-05-31,17.3,76.0,0.0,914.8
2023-06-30,15.8,78.0,0.0,916.1
2023-07-31,16.7,72.0,0.0,916.5
2023-08-31,18.8,69.5,0.0,915.3
2023-09-30,23.0,60.0,0.0,914.25
2023-10-31,22.6,80.0,0.0,912.2
2023-11-30,23.9,71.5,0.0,911.5
2023-12-31,23.3,76.0,0.0,911.8
